"Date","Price","Open","High","Low","Vol.","Change %"
"13-04-2022","150,483","149,636","150,932","149,451","","0.64%"
"12-04-2022","149,532","148,165","150,457","147,849","","1.01%"
"11-04-2022","148,038","147,905","149,491","147,144","","0.13%"
"08-04-2022","147,839","146,632","147,994","146,094","","0.87%"
"07-04-2022","146,566","146,232","147,239","145,714","","0.28%"
"06-04-2022","146,163","145,172","146,819","144,629","","0.75%"
"05-04-2022","145,069","145,820","146,387","144,487","","-0.47%"
"04-04-2022","145,749","146,286","146,450","144,760","","-0.31%"
"01-04-2022","146,200","147,083","147,320","145,689","","-0.51%"
"31-03-2022","146,952","146,545","148,008","145,324","","0.33%"
"30-03-2022","146,462","145,244","146,865","144,957","","0.91%"
"29-03-2022","145,145","146,306","146,808","142,828","","-0.73%"
"28-03-2022","146,217","149,423","149,470","145,852","","-2.09%"
"25-03-2022","149,340","149,396","149,900","148,187","","-0.01%"
"24-03-2022","149,349","148,788","150,011","147,793","","0.42%"
"23-03-2022","148,725","146,353","149,015","145,868","","1.68%"
"22-03-2022","146,262","147,691","148,161","145,341","","-0.93%"
"21-03-2022","147,639","146,216","147,905","145,897","","1.07%"
"18-03-2022","146,076","147,534","147,796","145,887","","-0.93%"
"17-03-2022","147,443","146,790","148,070","146,377","","0.48%"
"16-03-2022","146,741","146,573","147,056","144,397","","0.16%"
"15-03-2022","146,500","149,126","149,574","145,630","","-1.69%"
"14-03-2022","149,015","151,911","152,281","149,087","","-1.86%"
